date,symbol,exchange,deal_type,side,client,qty,price
2026-06-16,ALTIUSINVIT,BSE,block,BUY,IIFL MANAGEMENT SERVICES LIMITED,1525000.0,165.02
2026-06-16,ALTIUSINVIT,BSE,block,BUY,NEO INFRA INCOME OPPORTUNITIES FUND II,13025000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,NEO MARKETS SERVICES PRIVATE LIMITED,3150000.0,165.03
2026-06-16,ALTIUSINVIT,BSE,block,BUY,NEO PRIME FUND,1550000.0,165.02
2026-06-16,ALTIUSINVIT,BSE,block,BUY,NEO TREASURY PLUS FUND,1550000.0,165.04
2026-06-16,ALTIUSINVIT,BSE,block,BUY,INDIAN ENERGY EXCHANGE LIMITED,3000000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,JM FINANCIAL SERVICES LIMITED,5150000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,LARSEN AND TOUBRO OFFICERS AND SUPERVISORY STAFF PROVIDENT FUND,3025000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,ASK FINANCIAL HOLDINGS PRIVATE LIMITED,1525000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,ASK FINANCIAL HOLDINGS PRIVATE LIMITED,3025000.0,165.01
2026-06-16,ALTIUSINVIT,BSE,block,BUY,NUVAMA MULTI ASSET STRATEGY RETURN FUND,1525000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,EDELWEISS MUTUAL FUND,3925000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,BAJAJ LIFE INSURANCE LIMITED,2425000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,ASKWA INCOME OPPORTUNITIES AIF,1525000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,PHILLIP SERVICES INDIA PRIVATE LIMITED,1550000.0,165.07
2026-06-16,ALTIUSINVIT,BSE,block,BUY,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,1525000.0,165.02
2026-06-16,ALTIUSINVIT,BSE,block,BUY,BENNETT COLEMAN & COMPANY LIMITED,3025000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,LARSEN & TOUBRO LIMITED,38050000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,L & T WELFARE COMPANY LIMITED,3050000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,L AND T EMPLOYEES WELFARE FOUNDATION PRIVATE LIMITED,9075000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,NIPPON INDIA MUTUAL FUND,2000000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,NIPPON INDIA MUTUAL FUND,5575000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,WHITEOAK CAPITAL MUTUAL FUND,6075000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,ANGEL ONE WEALTH LIMITED,1525000.0,165.09
2026-06-16,ALTIUSINVIT,BSE,block,BUY,LTM LIMITED,7575000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,SHYAM SEL AND POWER LIMITED,1525000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,360 ONE PRIME LIMITED,12600000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,SHYAM METALICS AND ENERGY LIMITED,1525000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,FAMY FINANCE PRIVATE LIMITED,3025000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,NEO WEALTH PARTNERS PRIVATE LIMITED,6200000.0,165.01
2026-06-16,ALTIUSINVIT,BSE,block,BUY,NEO REAL ASSET YIELD FUND,1800000.0,165.04
2026-06-16,ALTIUSINVIT,BSE,block,BUY,LGT WEALTH INDIA PRIVATE LIMITED,1600000.0,165.08
2026-06-16,ALTIUSINVIT,BSE,block,BUY,SUNDARAM MUTUAL FUND,6075000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,EDELWEISS TOKIO LIFE INSURANCE COMPANY LIMITED,1525000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE. LTD.,1525000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE. LTD.,2425000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE. LTD.,3000000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE. LTD.,3025000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE. LTD.,3925000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE. LTD.,4525000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE. LTD.,5150000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE LTD,3025000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE LTD,3050000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE LTD,5575000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE LTD,6075000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE LTD,7575000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE LTD,9075000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE LTD,13025000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE LTD,6200000.0,165.01
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE LTD,1550000.0,165.02
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE LTD,3150000.0,165.03
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE LTD,1800000.0,165.04
2026-06-16,ALTIUSINVIT,BSE,block,SELL,ANAHERA INVESTMENT PTE. LTD.,2000000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,ANAHERA INVESTMENT PTE. LTD.,3025000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,ANAHERA INVESTMENT PTE. LTD.,38050000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,ANAHERA INVESTMENT PTE. LTD.,1525000.0,165.02
2026-06-16,ALTIUSINVIT,BSE,block,SELL,ANAHERA INVESTMENT PTE. LTD.,1550000.0,165.07
2026-06-16,ALTIUSINVIT,BSE,block,SELL,ANAHERA INVESTMENT PTE. LTD.,1600000.0,165.08
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE.LTD.,1525000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE.LTD.,6075000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,SELL,BIF IV JARVIS INDIA PTE.LTD.,12600000.0,165.0
2026-06-16,ANMOL,NSE,bulk,BUY,VIJAY KUMAR,3440000,11.28
2026-06-16,ANMOL,NSE,bulk,SELL,TILAK RAJ,3440000,11.28
2026-06-16,ARCEEIN,BSE,bulk,SELL,RAJEEV KUMAR PATHAK,30000.0,14.0
2026-06-16,ARCEEIN,BSE,bulk,SELL,SEJAL BINISH PARIKH,30000.0,14.0
2026-06-16,ARCEEIN,BSE,bulk,BUY,UNLISTED ASSETS PRIVATE LIMITED,35000.0,14.0
2026-06-16,ARCEEIN,BSE,bulk,BUY,SUNITA  RANI,36000.0,14.0
2026-06-16,ARCEEIN,BSE,bulk,BUY,KARAN AGARWAL HUF,60000.0,14.0
2026-06-16,ARCEEIN,BSE,bulk,SELL,HARSHA GOYAL,60000.0,14.0
2026-06-16,ARMAN,BSE,bulk,BUY,KANNATHAL  VENKATACHALAM,27300.0,110.0
2026-06-16,ASHNI,BSE,bulk,SELL,ADITYA ENTERPRISE,2758287.0,3.0
2026-06-16,ASHNI,BSE,bulk,SELL,PARAMOUNT INCORPORATION,3999200.0,3.0
2026-06-16,ASHNI,BSE,bulk,BUY,BHAVISHYA ECOMMERCE PRIVATE LIMITED,2000000.0,3.0
2026-06-16,ATALREAL,NSE,bulk,BUY,HRTI PRIVATE LIMITED,761138,31.19
2026-06-16,ATALREAL,NSE,bulk,BUY,ALTIZEN VENTURES LLP,559229,30.92
2026-06-16,ATALREAL,NSE,bulk,SELL,HRTI PRIVATE LIMITED,367717,30.88
2026-06-16,ATALREAL,NSE,bulk,SELL,ALTIZEN VENTURES LLP,687270,30.95
2026-06-16,BABAFP,NSE,bulk,BUY,MAHENDRA GIRDHARILAL WADHWANI,86400,22.2
2026-06-16,BACPHAR,BSE,bulk,SELL,JR SEAMLESS PRIVATE LIMITED,2104.0,41.0
2026-06-16,BACPHAR,BSE,bulk,BUY,JR SEAMLESS PRIVATE LIMITED,90304.0,37.35
2026-06-16,BACPHAR,BSE,bulk,BUY,JAGWANI MURLIDHAR,87828.0,40.46
2026-06-16,BACPHAR,BSE,bulk,SELL,JAGWANI MURLIDHAR,32200.0,40.0
2026-06-16,BHARATGEAR,NSE,bulk,BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,98735,130.03
2026-06-16,BHARATGEAR,NSE,bulk,BUY,ANKITA VISHAL SHAH,83839,133.74
2026-06-16,BHARATGEAR,NSE,bulk,SELL,ANKITA VISHAL SHAH,84459,136.81
2026-06-16,BHARATGEAR,NSE,bulk,SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,98735,130.15
2026-06-16,BIKEWO,NSE,bulk,SELL,VIBHAV ENGINEERING SOLUTIONS PRIVATE LIMITED,70000,30.22
2026-06-16,CBPL,BSE,bulk,SELL,TEAM ANAMIKA ALGO LIMITED,49000.0,44.0
2026-06-16,DHYAANITR,BSE,bulk,BUY,SHIV SHAKTI TRADING COMPANY,117600.0,4.82
2026-06-16,DHYAANITR,BSE,bulk,SELL,SHIV SHAKTI TRADING COMPANY,72800.0,4.85
2026-06-16,DHYAANITR,BSE,bulk,SELL,KRISHNA TRADE FINANCE,123200.0,4.85
2026-06-16,DHYAANITR,BSE,bulk,BUY,AMAN VIPUL SHAH,299600.0,4.85
2026-06-16,DJML,NSE,bulk,BUY,MSB E TRADE SECURITIES LIMITED,174761,112.39
2026-06-16,DJML,NSE,bulk,SELL,MSB E TRADE SECURITIES LIMITED,182773,111.37
2026-06-16,ETML,NSE,bulk,BUY,SAMIR ARVIND THAKKAR,120000,78
2026-06-16,EUREKAI,BSE,bulk,BUY,EPITOME TRADING AND INVESTMENTS,50000.0,11.5
2026-06-16,EXICOM,NSE,bulk,BUY,JUNOMONETA FINSOL PRIVATE LIMITED,2061225,167.03
2026-06-16,EXICOM,NSE,bulk,BUY,HRTI PRIVATE LIMITED,2073616,166.44
2026-06-16,EXICOM,NSE,bulk,BUY,MICROCURVES TRADING PRIVATE LIMITED,1938316,167.66
2026-06-16,EXICOM,NSE,bulk,BUY,QE SECURITIES LLP,1467486,166.42
2026-06-16,EXICOM,NSE,bulk,BUY,MARWADI SHARES AND FINANCE LTD.,688306,166.95
2026-06-16,EXICOM,NSE,bulk,SELL,MARWADI SHARES AND FINANCE LTD.,730202,166.5
2026-06-16,EXICOM,NSE,bulk,SELL,QE SECURITIES LLP,1430198,167.77
2026-06-16,EXICOM,NSE,bulk,SELL,MICROCURVES TRADING PRIVATE LIMITED,1938316,167.77
2026-06-16,EXICOM,NSE,bulk,SELL,JUNOMONETA FINSOL PRIVATE LIMITED,2055710,167.16
2026-06-16,EXICOM,NSE,bulk,SELL,HRTI PRIVATE LIMITED,2041644,167.67
2026-06-16,FABTECH,NSE,bulk,BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,321928,161.65
2026-06-16,FABTECH,NSE,bulk,SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,321928,161.79
2026-06-16,GALAGEX,BSE,bulk,BUY,PROGNOSIS SECURITIES PVT. LTD.,358000.0,63.57
2026-06-16,GALAGEX,BSE,bulk,SELL,PROGNOSIS SECURITIES PVT. LTD.,10000.0,61.0
2026-06-16,GALAGEX,BSE,bulk,BUY,WEALTHWISE CAPITAL,250000.0,64.88
2026-06-16,GALAGEX,BSE,bulk,SELL,BLUESKY INFRA DEVELOPERS PRIVATE LIMITED,581560.0,64.16
2026-06-16,GALAGEX,BSE,bulk,BUY,BLUESKY INFRA DEVELOPERS PRIVATE LIMITED,1010.0,65.14
2026-06-16,GOKUL,NSE,bulk,BUY,NECTA BLOOM VCC - NECTA BLOOM ONE,504693,40.71
2026-06-16,GOKUL,NSE,bulk,SELL,MARWADI SHARES AND FINANCE LTD.,504693,40.7
2026-06-16,GUJCOTEX,BSE,bulk,BUY,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,816828.0,3.93
2026-06-16,GUJCOTEX,BSE,bulk,SELL,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,195320.0,3.93
2026-06-16,GUJINJEC,BSE,bulk,SELL,SURENDRA NEMCHAND SHAH,100000.0,113.05
2026-06-16,HEXAGON,NSE,bulk,BUY,NAVRATRI SHARE TRADING PRIVATE LIMITED .,630000,54.14
2026-06-16,HEXAGON,NSE,bulk,SELL,NAVRATRI SHARE TRADING PRIVATE LIMITED .,630000,50.78
2026-06-16,INDIAHOMES,BSE,bulk,BUY,HILL TOP IMPEX PVT LTD .,2299046.0,22.63
2026-06-16,IPHL,NSE,bulk,SELL,SHIVA PRASAD KONDA,132000,53.37
2026-06-16,JSHL,BSE,bulk,SELL,NEETU  GUPTA,35000.0,4.9
2026-06-16,KOBO,BSE,bulk,SELL,DARSHANA MEHUL SHAH,145500.0,6.58
2026-06-16,KOBO,BSE,bulk,SELL,SUSHMA SANJAY PUNAMIYA,122295.0,6.58
2026-06-16,KONNDOR,BSE,bulk,BUY,DEXDOM IMPAX PRIVATE LIMITED,100000.0,21.0
2026-06-16,KONNDOR,BSE,bulk,SELL,MIDAS FLEXIPACKS PVT LTD,100000.0,21.0
2026-06-16,KONNDOR,BSE,bulk,SELL,RAGHAV BUSINESS CENTER PRIVATE LIMITED,100000.0,21.0
2026-06-16,KONNDOR,BSE,bulk,BUY,NEXONINA EXIM PRIVATE LIMITED,100000.0,21.0
2026-06-16,LAMOSAIC,NSE,bulk,BUY,KARAN BALVANTBHAI PATEL,99000,28.5
2026-06-16,LAMOSAIC,NSE,bulk,BUY,VIKAS RAMESH MEHTA,130200,28.5
2026-06-16,LAMOSAIC,NSE,bulk,BUY,TOUCHSTONE CAPITAL MARKET SERVICES PVT LTD,167400,28.5
2026-06-16,LAMOSAIC,NSE,bulk,SELL,VINOD JUTHALAL VISARIA,267000,28.5
2026-06-16,LAMOSAIC,NSE,bulk,SELL,MAMTA VINOD VISARIA,72600,28.5
2026-06-16,LOOKS,BSE,bulk,BUY,PALANIAPPAN RAM MEYYAPPAN,112147.0,10.0
2026-06-16,MANIVENI,BSE,bulk,SELL,LONGTHRIVE CAPITAL VCC - GAMMA VIEW FUNDS,104000.0,38.74
2026-06-16,MCLOUD,NSE,bulk,BUY,QE SECURITIES LLP,3065507,29.66
2026-06-16,MCLOUD,NSE,bulk,BUY,JUNOMONETA FINSOL PRIVATE LIMITED,4044207,29.58
2026-06-16,MCLOUD,NSE,bulk,SELL,JUNOMONETA FINSOL PRIVATE LIMITED,4063720,29.6
2026-06-16,MCLOUD,NSE,bulk,SELL,QE SECURITIES LLP,3050292,29.5
2026-06-16,MIDEASTP,BSE,bulk,SELL,JYOTI K SHAH,60000.0,31.24
2026-06-16,MOTISONS,NSE,bulk,BUY,PARNIT VENTURES PRIVATE LIMITED,35005293,14.1
2026-06-16,MOTISONS,NSE,bulk,BUY,HRTI PRIVATE LIMITED,10889440,14.49
2026-06-16,MOTISONS,NSE,bulk,BUY,AJAY GUPTA,6000000,14
2026-06-16,MOTISONS,NSE,bulk,BUY,ARIHANT CAPITAL MARKETS LIMITED,25781463,14.43
2026-06-16,MOTISONS,NSE,bulk,BUY,PLASTOMATIC PACKAGING PRIVATE LIMITED,6257822,14.12
2026-06-16,MOTISONS,NSE,bulk,BUY,NIRMALKUMAR PAREEK,6000000,14
2026-06-16,MOTISONS,NSE,bulk,BUY,CRABEL VINTRADE PRIVATE LIMITED,7500000,14
2026-06-16,MOTISONS,NSE,bulk,BUY,QE SECURITIES LLP,6637679,14.45
2026-06-16,MOTISONS,NSE,bulk,BUY,NEO APEX SHARE BROKING SERVICES LLP,7821122,14.16
2026-06-16,MOTISONS,NSE,bulk,SELL,PARNIT VENTURES PRIVATE LIMITED,35005293,14.18
2026-06-16,MOTISONS,NSE,bulk,SELL,PLASTOMATIC PACKAGING PRIVATE LIMITED,6257822,14.15
2026-06-16,MOTISONS,NSE,bulk,SELL,MINT FOCUSED GROWTH FUND PCC- CELL 1,10000000,14
2026-06-16,MOTISONS,NSE,bulk,SELL,PINE OAK GLOBAL FUND,22624440,14.1
2026-06-16,MOTISONS,NSE,bulk,SELL,ARIHANT CAPITAL MARKETS LIMITED,19230304,14.76
2026-06-16,MOTISONS,NSE,bulk,SELL,QE SECURITIES LLP,6576103,14.52
2026-06-16,MOTISONS,NSE,bulk,SELL,NEO APEX SHARE BROKING SERVICES LLP,7821122,14.15
2026-06-16,MOTISONS,NSE,bulk,SELL,HRTI PRIVATE LIMITED,11201382,14.59
2026-06-16,MOTISONS,NSE,bulk,SELL,NOVA GLOBAL OPPORTUNITIES FUND PCC - TOUCHSTONE,18552060,14
2026-06-16,MOTISONS,BSE,bulk,SELL,ARIHANT CAPITAL MARKETS LIMITED,7000000.0,14.05
2026-06-16,MSTCLTD,NSE,bulk,BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,414231,695.5
2026-06-16,MSTCLTD,NSE,bulk,BUY,MICROCURVES TRADING PRIVATE LIMITED,602664,690.9
2026-06-16,MSTCLTD,NSE,bulk,BUY,JUNOMONETA FINSOL PRIVATE LIMITED,681024,686.41
2026-06-16,MSTCLTD,NSE,bulk,BUY,HRTI PRIVATE LIMITED,513180,680.75
2026-06-16,MSTCLTD,NSE,bulk,BUY,QE SECURITIES LLP,460773,683.95
2026-06-16,MSTCLTD,NSE,bulk,SELL,MICROCURVES TRADING PRIVATE LIMITED,602664,691.1
2026-06-16,MSTCLTD,NSE,bulk,SELL,HRTI PRIVATE LIMITED,527988,680.22
2026-06-16,MSTCLTD,NSE,bulk,SELL,QE SECURITIES LLP,464009,674.56
2026-06-16,MSTCLTD,NSE,bulk,SELL,JUNOMONETA FINSOL PRIVATE LIMITED,679810,686.63
2026-06-16,MSTCLTD,NSE,bulk,SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,414231,695.76
2026-06-16,MTARTECH,NSE,bulk,BUY,HRTI PRIVATE LIMITED,182927,7612.6
2026-06-16,MTARTECH,NSE,bulk,SELL,HRTI PRIVATE LIMITED,174961,7607.68
2026-06-16,MYMUDRA,NSE,bulk,BUY,RAVI ASHOK KOTHARI,60000,73.97
2026-06-16,MYMUDRA,NSE,bulk,SELL,PROFIN CAPITAL SERVICES LIMITED,91200,74
2026-06-16,MYMUDRA,NSE,bulk,SELL,JAMMS STOCK BROKERS PRIVATE LIMITED,122400,74.02
2026-06-16,NAVIGANT,BSE,bulk,BUY,KRUPPA MEHTA,35000.0,76.75
2026-06-16,NAVIGANT,BSE,bulk,BUY,AIKYATA ADVISORY  LLP,65000.0,76.75
2026-06-16,NAVIGANT,BSE,bulk,BUY,GENZ INVESTMENT ADVISORS  PRIVATE LIMITED,120000.0,76.75
2026-06-16,NAVIGANT,BSE,bulk,SELL,SARTHAK  VIJLANI,257500.0,76.75
2026-06-16,NAVIGANT,BSE,bulk,BUY,MEETA HITEN MEHTA,40000.0,76.75
2026-06-16,NBL,BSE,bulk,SELL,KRIIS PORTFOLIO PRIVATE LIMITED,223200.0,76.4
2026-06-16,NBL,BSE,bulk,BUY,RITESH ARVIND POLADIA,150000.0,75.0
2026-06-16,NIITLTD,NSE,bulk,BUY,JUNOMONETA FINSOL PRIVATE LIMITED,1361077,101.92
2026-06-16,NIITLTD,NSE,bulk,BUY,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,730532,103.34
2026-06-16,NIITLTD,NSE,bulk,BUY,HRTI PRIVATE LIMITED,657409,101.3
2026-06-16,NIITLTD,NSE,bulk,BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,1209541,101.75
2026-06-16,NIITLTD,NSE,bulk,SELL,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,688532,103.62
