review_date,week,source,total_candidates,valid,true_breakout,breakout_low_vol,attempted,holding,false_signal,no_data,hit_rate_strict_%,hit_rate_loose_%,data_error
2026-06-23,1,Screener,45,45,33,2,8,0,2,0,73.3,77.8,
2026-06-23,2,MPD,47,47,36,7,4,0,0,0,76.6,91.5,
2026-06-23,2,Screener,34,34,28,5,1,0,0,0,82.4,97.1,
2026-06-23,3,MPD,63,63,45,7,8,0,3,0,71.4,82.5,
2026-06-23,3,Screener,36,36,27,5,4,0,0,0,75.0,88.9,
2026-06-23,4,MPD,49,49,38,8,2,1,0,0,77.6,93.9,
2026-06-23,4,Screener,22,22,16,6,0,0,0,0,72.7,100.0,
2026-06-23,5,MPD,59,59,46,7,6,0,0,0,78.0,89.8,
2026-06-23,5,Screener,28,28,18,7,3,0,0,0,64.3,89.3,
2026-06-29,1,MPD,67,67,50,4,9,0,4,0,74.6,80.6,
2026-06-29,1,Screener,45,45,33,2,8,0,2,0,73.3,77.8,
2026-06-29,2,MPD,47,47,37,6,4,0,0,0,78.7,91.5,
2026-06-29,2,Screener,34,34,30,3,1,0,0,0,88.2,97.1,
2026-06-29,3,MPD,63,63,43,8,8,0,4,0,68.3,81.0,
2026-06-29,3,Screener,36,36,28,4,4,0,0,0,77.8,88.9,
2026-06-29,4,MPD,49,49,41,6,1,0,1,0,83.7,95.9,
2026-06-29,4,Screener,22,22,17,5,0,0,0,0,77.3,100.0,
2026-06-29,5,MPD,59,59,49,6,4,0,0,0,83.1,93.2,
2026-06-29,5,Screener,28,28,20,6,2,0,0,0,71.4,92.9,
2026-06-29,7,MPD,92,92,12,32,33,1,14,0,13.0,47.8,
2026-06-29,7,Screener,38,38,6,18,12,0,2,0,15.8,63.2,
2026-07-03,1,MPD,67,67,52,3,9,0,3,0,77.6,82.1,
2026-07-03,1,Screener,45,45,35,1,7,0,2,0,77.8,80.0,
2026-07-03,2,MPD,47,47,37,6,4,0,0,0,78.7,91.5,
2026-07-03,2,Screener,34,34,30,3,1,0,0,0,88.2,97.1,
2026-07-03,3,MPD,63,63,48,4,7,0,4,0,76.2,82.5,
2026-07-03,3,Screener,36,36,31,1,4,0,0,0,86.1,88.9,
2026-07-03,4,MPD,49,49,44,4,0,1,0,0,89.8,98.0,
2026-07-03,4,Screener,22,22,20,2,0,0,0,0,90.9,100.0,
2026-07-03,5,MPD,59,59,54,1,3,0,1,0,91.5,93.2,
2026-07-03,5,Screener,28,28,23,3,2,0,0,0,82.1,92.9,
2026-07-03,7,MPD,92,92,30,24,23,2,13,0,32.6,58.7,
2026-07-03,7,Screener,38,38,15,11,9,0,3,0,39.5,68.4,
2026-07-03,1,MPD,67,67,52,3,9,0,3,0,77.6,82.1,0.0
2026-07-03,1,Screener,45,45,35,1,7,0,2,0,77.8,80.0,0.0
2026-07-03,2,MPD,47,47,37,6,4,0,0,0,78.7,91.5,0.0
2026-07-03,2,Screener,34,34,30,3,1,0,0,0,88.2,97.1,0.0
2026-07-03,3,MPD,63,62,48,4,7,0,3,0,77.4,83.9,1.0
2026-07-03,3,Screener,36,36,31,1,4,0,0,0,86.1,88.9,0.0
2026-07-03,4,MPD,49,49,44,4,0,1,0,0,89.8,98.0,0.0
2026-07-03,4,Screener,22,22,20,2,0,0,0,0,90.9,100.0,0.0
2026-07-03,5,MPD,59,58,54,1,3,0,0,0,93.1,94.8,1.0
2026-07-03,5,Screener,28,28,23,3,2,0,0,0,82.1,92.9,0.0
2026-07-03,7,MPD,92,89,30,24,23,2,10,0,33.7,60.7,3.0
2026-07-03,7,Screener,38,37,15,11,9,0,2,0,40.5,70.3,1.0
2026-07-15,1,MPD,67,63,52,2,6,0,3,4,82.5,85.7,0.0
2026-07-15,1,Screener,45,43,35,1,5,0,2,2,81.4,83.7,0.0
2026-07-15,2,MPD,47,44,37,3,4,0,0,3,84.1,90.9,0.0
2026-07-15,2,Screener,34,31,30,0,1,0,0,3,96.8,96.8,0.0
2026-07-15,3,MPD,63,59,49,0,7,1,2,4,83.1,83.1,0.0
2026-07-15,3,Screener,36,35,31,0,4,0,0,1,88.6,88.6,0.0
2026-07-15,4,MPD,49,46,43,2,0,0,1,3,93.5,97.8,0.0
2026-07-15,4,Screener,22,20,20,0,0,0,0,2,100.0,100.0,0.0
2026-07-15,5,MPD,59,55,52,1,2,0,0,4,94.5,96.4,0.0
2026-07-15,5,Screener,28,25,23,1,1,0,0,3,92.0,96.0,0.0
2026-07-15,7,MPD,92,83,46,16,10,2,9,8,55.4,74.7,1.0
2026-07-15,7,Screener,38,35,24,5,4,0,2,2,68.6,82.9,1.0
2026-07-15,8,MPD,84,79,36,26,10,1,6,5,45.6,78.5,0.0
2026-07-15,8,Screener,38,32,20,10,1,0,1,6,62.5,93.8,0.0
2026-07-15,9,MPD,82,76,37,19,14,1,5,6,48.7,73.7,0.0
2026-07-15,9,Screener,39,35,18,10,3,1,3,4,51.4,80.0,0.0
2026-07-15,10,MPD,83,76,15,35,19,3,4,7,19.7,65.8,0.0
2026-07-15,10,Screener,41,37,5,19,7,3,3,4,13.5,64.9,0.0
2026-07-21,1,MPD,67,67,56,3,5,0,3,0,83.6,88.1,0.0
2026-07-21,1,Screener,45,45,36,1,6,0,2,0,80.0,82.2,0.0
2026-07-21,2,MPD,47,47,40,3,4,0,0,0,85.1,91.5,0.0
2026-07-21,2,Screener,34,34,32,1,1,0,0,0,94.1,97.1,0.0
2026-07-21,3,MPD,63,62,54,0,8,0,0,0,87.1,87.1,1.0
2026-07-21,3,Screener,36,36,32,0,4,0,0,0,88.9,88.9,0.0
2026-07-21,4,MPD,49,49,47,1,0,1,0,0,95.9,98.0,0.0
2026-07-21,4,Screener,22,22,22,0,0,0,0,0,100.0,100.0,0.0
2026-07-21,5,MPD,59,58,55,1,2,0,0,0,94.8,96.6,1.0
2026-07-21,5,Screener,28,28,26,1,1,0,0,0,92.9,96.4,0.0
2026-07-21,7,MPD,92,89,55,14,10,0,10,0,61.8,77.5,3.0
2026-07-21,7,Screener,38,36,24,6,5,0,1,0,66.7,83.3,2.0
2026-07-21,8,MPD,84,83,48,20,7,1,7,0,57.8,81.9,1.0
2026-07-21,8,Screener,38,37,27,7,1,0,2,0,73.0,91.9,1.0
2026-07-21,9,MPD,82,82,47,17,13,0,5,0,57.3,78.0,0.0
2026-07-21,9,Screener,39,38,20,11,3,0,4,0,52.6,81.6,1.0
2026-07-21,10,MPD,83,83,13,31,23,1,15,0,15.7,53.0,0.0
2026-07-21,10,Screener,41,40,8,13,12,1,6,0,20.0,52.5,1.0
2026-07-21,11,MPD,96,96,19,38,24,15,0,0,19.8,59.4,0.0
2026-07-21,11,Screener,60,60,12,24,15,9,0,0,20.0,60.0,0.0
